Nr	MaxOlig	Time	Score
0	32	00:00:00.2541031	9,65625
1	32	00:00:00.1748502	9,625
2	32	00:00:00.2137416	9,59375
3	33	00:00:00.2335524	9,090909
4	34	00:00:00.3135287	9
5	35	00:00:00.3620593	8,8
6	35	00:00:00.3830492	8,714286
7	35	00:00:00.3909794	8,6
8	36	00:00:00.4117419	8,5
9	36	00:00:00.2868017	8,583333
10	37	00:00:00.2474895	8,324325
11	36	00:00:00.2597807	8,333333
12	37	00:00:00.2410327	8,108109
13	38	00:00:00.3038817	8,026316
14	39	00:00:00.2767950	7,769231
15	40	00:00:00.4563692	7,675
16	39	00:00:00.5103849	7,692307
17	41	00:00:00.3311564	7,439024
18	41	00:00:00.2705308	7,512195
19	41	00:00:00.2636569	7,390244
20	40	00:00:00.2670392	7,55
21	41	00:00:00.3173557	7,439024
22	41	00:00:00.2866030	7,439024
23	41	00:00:00.2759736	7,317073
24	42	00:00:00.3529944	7,285714
25	43	00:00:00.3041863	7,162791
26	42	00:00:00.2843594	7,285714
27	43	00:00:00.2962660	7,162791
28	43	00:00:00.2758911	7,162791
29	41	00:00:00.2825777	7,365854
30	44	00:00:00.3145185	7,022727
31	42	00:00:00.3732947	7,142857
32	44	00:00:00.3095958	6,954545
33	44	00:00:00.3042249	6,909091
34	45	00:00:00.2731007	6,733333
35	45	00:00:00.2865463	6,777778
36	44	00:00:00.3306178	7
37	44	00:00:00.3592480	6,840909
38	45	00:00:00.3474002	6,733333
39	45	00:00:00.3401145	6,666667
40	45	00:00:00.3017679	6,755556
41	45	00:00:00.2961305	6,711111
42	46	00:00:00.2839756	6,652174
43	45	00:00:00.3418531	6,755556
44	45	00:00:00.3816288	6,666667
45	47	00:00:00.2966326	6,553192
46	46	00:00:00.2991093	6,673913
47	47	00:00:00.2968157	6,531915
48	47	00:00:00.2897078	6,489362
49	44	00:00:00.3727483	6,840909
50	47	00:00:00.3511811	6,489362
51	45	00:00:00.3084258	6,8
52	44	00:00:00.2969635	6,863636
53	47	00:00:00.3167436	6,553192
54	46	00:00:00.3204363	6,565217
55	48	00:00:00.3544957	6,395833
56	47	00:00:00.3636842	6,446808
57	48	00:00:00.3593995	6,375
58	48	00:00:00.3122117	6,291667
59	49	00:00:00.3170030	6,163265
60	49	00:00:00.2913901	6,204082
61	49	00:00:00.3685186	6,285714
62	50	00:00:00.3719009	6,04
63	49	00:00:00.2978400	6,122449
64	51	00:00:00.3104707	6,019608
65	49	00:00:00.3028176	6,142857
66	50	00:00:00.3318974	6,12
67	47	00:00:00.3120451	6,425532
68	48	00:00:00.3957169	6,291667
69	46	00:00:00.3151831	6,695652
70	49	00:00:00.3278184	6,204082
71	51	00:00:00.3209860	6,039216
72	51	00:00:00.3121703	5,980392
73	51	00:00:00.3342111	6,019608
74	51	00:00:00.4025797	5,960784
75	52	00:00:00.3517538	5,923077
76	52	00:00:00.3189120	5,884615
77	51	00:00:00.3275376	5,941176
78	52	00:00:00.3392992	5,807693
79	52	00:00:00.4724668	5,903846
80	52	00:00:00.3724543	5,846154
81	53	00:00:00.4266424	5,716981
82	54	00:00:00.4598148	5,703704
83	52	00:00:00.5540626	5,807693
84	52	00:00:00.6964688	5,769231
85	52	00:00:00.6815498	5,788462
86	51	00:00:00.6443727	5,921568
87	53	00:00:00.5202827	5,716981
88	52	00:00:00.6114685	5,846154
89	53	00:00:00.5702933	5,679245
90	52	00:00:00.6215276	5,788462
91	53	00:00:00.5240222	5,773585
92	53	00:00:00.5579228	5,773585
93	54	00:00:00.5182477	5,62963
94	53	00:00:00.5664076	5,754717
95	54	00:00:00.3465935	5,666667
96	55	00:00:00.3155079	5,6
97	55	00:00:00.3379695	5,563636
98	54	00:00:00.3270803	5,611111
99	54	00:00:00.4055023	5,685185
100	55	00:00:00.3378427	5,563636
101	55	00:00:00.3429923	5,527273
102	51	00:00:00.3426799	5,901961
103	54	00:00:00.3296612	5,611111
104	53	00:00:00.3499976	5,754717
105	56	00:00:00.4064941	5,410714
106	56	00:00:00.3598889	5,5
107	56	00:00:00.3297241	5,446429
108	53	00:00:00.3328896	5,754717
109	56	00:00:00.3169250	5,410714
110	53	00:00:00.4416197	5,716981
111	57	00:00:00.3911797	5,31579
112	58	00:00:00.3235998	5,327586
113	57	00:00:00.3248663	5,31579
114	57	00:00:00.3534005	5,403509
115	57	00:00:00.3440671	5,368421
116	58	00:00:00.4122460	5,206897
117	58	00:00:00.3491400	5,258621
118	58	00:00:00.3594471	5,275862
119	58	00:00:00.3353467	5,241379
120	58	00:00:00.3219942	5,275862
121	58	00:00:00.3837726	5,189655
122	58	00:00:00.4153824	5,189655
123	58	00:00:00.3494122	5,224138
124	58	00:00:00.3167115	5,189655
125	58	00:00:00.3517308	5,224138
126	58	00:00:00.3577229	5,293103
127	59	00:00:00.4209135	5,18644
128	59	00:00:00.3761113	5,169491
129	59	00:00:00.3800770	5,135593
130	60	00:00:00.3436652	5,133333
131	59	00:00:00.3555397	5,18644
132	59	00:00:00.3958840	5,152543
133	60	00:00:00.4128671	5,1
134	60	00:00:00.3212237	5,133333
135	60	00:00:00.3517551	5,1
136	59	00:00:00.3356459	5,101695
137	58	00:00:00.3617354	5,224138
138	59	00:00:00.3902199	5,152543
139	59	00:00:00.3868224	5,152543
140	60	00:00:00.3550040	5,083333
141	61	00:00:00.3657496	5
142	61	00:00:00.3331643	5,032787
143	59	00:00:00.3906120	5,101695
144	61	00:00:00.4083731	5,065574
145	61	00:00:00.4341682	5,032787
146	61	00:00:00.4688517	5,032787
147	61	00:00:00.5345264	5,032787
148	60	00:00:00.5700076	5,1
149	60	00:00:00.5116518	5,05
150	61	00:00:00.5174706	5,049181
151	62	00:00:00.4733417	4,967742
152	61	00:00:00.5115865	4,967213
153	61	00:00:00.4686522	5,049181
154	61	00:00:00.4140347	5,049181
155	60	00:00:00.4425746	5,05
156	62	00:00:00.5663329	4,967742
157	61	00:00:00.4712291	5,065574
158	60	00:00:00.4527368	5,083333
159	61	00:00:00.5164155	5,049181
160	61	00:00:00.5596631	4,983606
161	62	00:00:00.4004277	4,951613
162	61	00:00:00.3716899	4,934426
163	62	00:00:00.3541858	4,935484
164	62	00:00:00.3539514	4,935484
165	63	00:00:00.4475753	4,84127
166	62	00:00:00.3846002	4,903226
167	63	00:00:00.3832816	4,809524
168	63	00:00:00.3771545	4,84127
169	64	00:00:00.4145195	4,796875
170	64	00:00:00.4724241	4,796875
171	63	00:00:00.4237133	4,888889
172	63	00:00:00.3567787	4,857143
173	64	00:00:00.3831958	4,78125
174	56	00:00:00.4912994	5,357143
175	65	00:00:00.4257848	4,738461
176	58	00:00:00.3821740	5,241379
177	58	00:00:00.3694094	5,206897
178	64	00:00:00.3359362	4,8125
179	63	00:00:00.3642561	4,825397
180	64	00:00:00.4406657	4,8125
181	64	00:00:00.3568986	4,8125
182	59	00:00:00.3593544	5,237288
183	57	00:00:00.3174061	5,368421
184	62	00:00:00.3728891	4,951613
185	62	00:00:00.4136504	4,935484
186	64	00:00:00.3729309	4,75
187	58	00:00:00.3716866	5,206897
188	59	00:00:00.3544682	5,18644
189	59	00:00:00.3407595	5,084746
190	64	00:00:00.4214345	4,796875
191	65	00:00:00.4855101	4,723077
192	64	00:00:00.3672714	4,78125
193	65	00:00:00.3636296	4,738461
194	64	00:00:00.3579623	4,8125
195	65	00:00:00.3923818	4,707692
196	64	00:00:00.4238553	4,8125
197	63	00:00:00.3676561	4,777778
198	66	00:00:00.3594237	4,681818
199	63	00:00:00.3676942	4,809524
200	64	00:00:00.3482643	4,703125
201	66	00:00:00.7297943	4,666667
202	66	00:00:00.5850087	4,666667
203	63	00:00:00.5991633	4,777778
204	66	00:00:00.6871781	4,666667
205	66	00:00:00.6203096	4,666667
206	64	00:00:00.5773507	4,8125
207	66	00:00:00.6648179	4,666667
208	66	00:00:00.6216574	4,666667
209	64	00:00:00.5628204	4,703125
210	66	00:00:00.6596510	4,666667
211	64	00:00:00.6311673	4,703125
212	65	00:00:00.5957317	4,707692
213	65	00:00:00.5952666	4,723077
214	66	00:00:00.6635251	4,666667
215	66	00:00:00.5880622	4,666667
216	66	00:00:00.6000283	4,666667
217	66	00:00:00.7983016	4,666667
218	65	00:00:00.6254658	4,738461
219	65	00:00:00.5808357	4,692307
220	64	00:00:00.7062180	4,703125
221	64	00:00:00.5705831	4,703125
222	65	00:00:00.5673613	4,738461
223	64	00:00:00.6728388	4,703125
224	63	00:00:00.6003854	4,761905
225	64	00:00:00.5901489	4,703125
226	64	00:00:00.6169108	4,703125
227	66	00:00:00.6169117	4,666667
228	64	00:00:00.5685243	4,703125
229	64	00:00:00.6560625	4,703125
230	66	00:00:00.6327630	4,666667
231	66	00:00:00.5662964	4,666667
232	66	00:00:00.5703093	4,666667
233	66	00:00:00.6939617	4,666667
234	65	00:00:00.5917955	4,707692
235	64	00:00:00.5954566	4,6875
236	64	00:00:00.6845840	4,71875
237	64	00:00:00.5947362	4,6875
238	65	00:00:00.5627416	4,707692
239	64	00:00:00.6800661	4,703125
240	66	00:00:00.6210613	4,666667
241	63	00:00:00.5610219	4,777778
242	65	00:00:00.6028539	4,738461
243	66	00:00:00.6627948	4,666667
244	63	00:00:00.5880203	4,809524
245	65	00:00:00.5847948	4,692307
246	64	00:00:00.7263429	4,765625
247	66	00:00:00.5736054	4,666667
248	66	00:00:00.5707428	4,666667
249	64	00:00:00.7038591	4,703125
250	66	00:00:00.6052424	4,666667
251	66	00:00:00.5923814	4,666667
252	65	00:00:00.6193592	4,646154
253	66	00:00:00.6146558	4,666667
254	66	00:00:00.5611672	4,666667
255	65	00:00:00.6090008	4,692307
256	64	00:00:00.6487892	4,734375
257	66	00:00:00.5884128	4,666667
258	65	00:00:00.5866217	4,738461
259	65	00:00:00.6983786	4,707692
260	64	00:00:00.5972970	4,78125
261	65	00:00:00.5716920	4,692307
262	64	00:00:00.8123195	4,703125
263	64	00:00:00.6418784	4,703125
264	65	00:00:00.6451897	4,723077
265	65	00:00:00.7302212	4,738461
266	64	00:00:00.5594447	4,703125
267	64	00:00:00.5887745	4,6875
268	65	00:00:00.7000231	4,723077
269	64	00:00:00.7007740	4,703125
270	64	00:00:00.5778758	4,703125
271	65	00:00:00.8013485	4,738461
272	66	00:00:00.6624109	4,681818
273	65	00:00:00.6707525	4,692307
274	65	00:00:00.6572670	4,692307
275	66	00:00:00.6194081	4,651515
276	64	00:00:00.6183173	4,703125
277	67	00:00:00.8288404	4,597015
278	66	00:00:00.5781180	4,666667
279	66	00:00:00.6740260	4,651515
280	64	00:00:00.7970992	4,6875
281	66	00:00:00.6044447	4,636364
282	63	00:00:00.5691890	4,777778
283	64	00:00:00.7040623	4,703125
284	66	00:00:00.5948634	4,681818
285	65	00:00:00.5476761	4,738461
286	66	00:00:00.6694458	4,651515
287	66	00:00:00.5885208	4,681818
288	64	00:00:00.7219339	4,6875
289	64	00:00:00.6540649	4,6875
290	64	00:00:00.6407445	4,8125
291	64	00:00:00.5777037	4,6875
292	64	00:00:00.6099245	4,703125
293	63	00:00:00.6761858	4,777778
294	64	00:00:00.5654273	4,734375
295	64	00:00:00.5856586	4,796875
296	64	00:00:00.6632492	4,6875
297	64	00:00:00.5854307	4,6875
298	63	00:00:00.5953232	4,761905
299	63	00:00:00.6397568	4,761905
300	63	00:00:00.9416524	4,777778
301	64	00:00:00.9133477	4,6875
302	64	00:00:00.7305492	4,6875
303	64	00:00:00.7274945	4,6875
304	65	00:00:00.7882523	4,615385
305	64	00:00:00.7162587	4,6875
306	65	00:00:00.6909611	4,753846
307	65	00:00:00.8429277	4,692307
308	64	00:00:00.7069426	4,8125
309	64	00:00:00.8737912	4,6875
310	64	00:00:00.7829868	4,6875
311	66	00:00:00.7080925	4,681818
312	64	00:00:00.7965133	4,6875
313	66	00:00:00.7008967	4,681818
314	64	00:00:00.9396194	4,6875
315	63	00:00:00.7530610	4,761905
316	66	00:00:00.6909940	4,681818
317	66	00:00:00.8603686	4,681818
318	65	00:00:00.7020126	4,738461
319	64	00:00:01.0050293	4,6875
320	64	00:00:00.8715698	4,6875
321	65	00:00:00.9198796	4,738461
322	64	00:00:00.9146010	4,6875
323	64	00:00:00.7215669	4,6875
324	64	00:00:00.9568284	4,6875
325	64	00:00:00.7760037	4,6875
326	64	00:00:00.9528894	4,6875
327	66	00:00:00.8870968	4,666667
328	64	00:00:00.7359723	4,6875
329	64	00:00:00.8089762	4,6875
330	65	00:00:00.6941949	4,707692
331	64	00:00:00.8753775	4,6875
332	64	00:00:00.7386477	4,6875
333	64	00:00:00.7364912	4,6875
334	64	00:00:00.8318299	4,6875
335	66	00:00:00.7556481	4,651515
336	64	00:00:00.7948556	4,6875
337	64	00:00:00.7428979	4,6875
338	64	00:00:00.7212339	4,71875
339	64	00:00:00.7939648	4,6875
340	66	00:00:00.7224084	4,636364
341	65	00:00:00.7284789	4,615385
342	66	00:00:00.8148902	4,681818
343	66	00:00:00.7175646	4,666667
344	66	00:00:00.7840201	4,666667
345	64	00:00:00.7142254	4,6875
346	64	00:00:00.7014378	4,765625
347	66	00:00:00.8047104	4,666667
348	65	00:00:00.7225090	4,723077
349	64	00:00:00.6835425	4,6875
350	66	00:00:00.8293757	4,681818
351	64	00:00:00.7199399	4,6875
352	64	00:00:00.7930850	4,6875
353	64	00:00:00.7776438	4,703125
354	64	00:00:00.7038255	4,6875
355	64	00:00:00.8865139	4,6875
356	63	00:00:00.7361139	4,761905
357	64	00:00:00.8209599	4,78125
358	66	00:00:00.7812478	4,681818
359	64	00:00:00.7250440	4,6875
360	64	00:00:00.8484661	4,6875
361	66	00:00:00.6907592	4,681818
362	64	00:00:00.7307520	4,71875
363	65	00:00:00.7584816	4,676923
364	64	00:00:00.7071253	4,6875
365	64	00:00:00.7302360	4,796875
366	65	00:00:00.7671384	4,692307
367	64	00:00:00.6999993	4,6875
368	64	00:00:00.9162657	4,6875
369	64	00:00:00.7763892	4,6875
370	64	00:00:00.8340311	4,6875
371	63	00:00:00.7720056	4,777778
372	64	00:00:00.6828413	4,6875
373	65	00:00:00.7856737	4,661539
374	64	00:00:00.7262760	4,6875
375	64	00:00:00.7445540	4,6875
376	64	00:00:00.8991688	4,6875
377	64	00:00:00.7749745	4,8125
378	64	00:00:00.7977856	4,6875
379	64	00:00:00.8468585	4,6875
380	64	00:00:00.7408174	4,6875
381	64	00:00:00.9576597	4,8125
382	63	00:00:00.9539785	4,777778
383	64	00:00:00.9335128	4,71875
384	66	00:00:00.7695207	4,681818
385	64	00:00:01.3346644	4,6875
386	64	00:00:01.0878855	4,6875
387	64	00:00:00.6933952	4,6875
388	64	00:00:00.9022310	4,6875
389	64	00:00:00.7550541	4,6875
390	65	00:00:00.7762439	4,630769
391	66	00:00:00.8772121	4,666667
392	64	00:00:00.8102242	4,6875
393	64	00:00:00.9492685	4,703125
394	64	00:00:00.7761454	4,6875
395	64	00:00:00.7464982	4,6875
396	64	00:00:00.7616139	4,8125
397	64	00:00:00.6930565	4,6875
398	64	00:00:00.8374943	4,6875
399	64	00:00:00.7033534	4,6875
400	64	00:00:00.7112306	4,75
401	64	00:00:00.7908144	4,6875
402	64	00:00:00.7268315	4,6875
403	64	00:00:00.7908595	4,6875
404	64	00:00:00.7615014	4,71875
405	64	00:00:00.6895850	4,6875
406	64	00:00:00.8238241	4,6875
407	63	00:00:00.7096981	4,777778
408	63	00:00:00.7176742	4,761905
409	63	00:00:00.8213105	4,777778
410	64	00:00:00.7114527	4,78125
411	64	00:00:00.7886554	4,71875
412	64	00:00:00.7451817	4,6875
413	65	00:00:00.6968526	4,753846
414	64	00:00:00.8143890	4,6875
415	64	00:00:00.7191423	4,6875
416	64	00:00:00.7039026	4,6875
417	64	00:00:00.8143212	4,6875
418	64	00:00:00.7057915	4,6875
419	64	00:00:00.7894654	4,6875
420	66	00:00:00.7800208	4,681818
421	63	00:00:00.7782465	4,777778
422	64	00:00:00.7967009	4,6875
423	64	00:00:00.6995707	4,6875
424	64	00:00:00.7639539	4,6875
425	64	00:00:00.7803492	4,6875
426	66	00:00:00.6929690	4,681818
427	64	00:00:00.8557575	4,6875
428	64	00:00:00.9170892	4,6875
429	65	00:00:00.8829677	4,723077
430	66	00:00:00.9113915	4,666667
431	64	00:00:01.0638264	4,6875
432	64	00:00:00.9686192	4,6875
433	64	00:00:00.6955131	4,6875
434	64	00:00:00.6870870	4,6875
435	64	00:00:00.8217243	4,6875
436	64	00:00:00.7556941	4,6875
437	63	00:00:00.6974114	4,777778
438	65	00:00:00.9025019	4,753846
439	63	00:00:00.6913680	4,761905
440	64	00:00:00.7640734	4,6875
441	64	00:00:00.7614797	4,6875
442	64	00:00:00.7085465	4,734375
443	64	00:00:00.7990496	4,71875
444	64	00:00:00.7618068	4,6875
445	64	00:00:00.6741685	4,6875
446	64	00:00:00.7940181	4,6875
447	64	00:00:00.6952031	4,71875
448	64	00:00:00.7750181	4,703125
449	64	00:00:00.7612079	4,71875
450	63	00:00:00.7203299	4,777778
451	63	00:00:00.7763190	4,761905
452	64	00:00:00.7419492	4,6875
453	66	00:00:00.7105154	4,681818
454	66	00:00:00.8001633	4,681818
455	66	00:00:00.6844916	4,666667
456	64	00:00:00.7339652	4,6875
457	64	00:00:00.7753313	4,6875
458	64	00:00:00.7068753	4,6875
459	64	00:00:00.7765534	4,6875
460	64	00:00:00.7467934	4,6875
461	63	00:00:00.6901298	4,777778
462	64	00:00:00.9025606	4,6875
463	64	00:00:00.7684217	4,8125
464	64	00:00:00.7763006	4,6875
465	63	00:00:00.7662430	4,777778
466	64	00:00:00.7065341	4,6875
467	64	00:00:00.7866249	4,6875
468	64	00:00:00.7399815	4,8125
469	64	00:00:00.6732637	4,6875
470	64	00:00:00.8379866	4,8125
471	63	00:00:00.6823117	4,777778
472	64	00:00:00.8011946	4,8125
473	64	00:00:00.7502419	4,6875
474	66	00:00:00.7014596	4,681818
475	64	00:00:00.7817832	4,8125
476	64	00:00:00.7210869	4,6875
477	64	00:00:00.6962968	4,6875
478	64	00:00:00.8121840	4,6875
479	64	00:00:00.6926693	4,6875
480	64	00:00:00.7686951	4,6875
481	66	00:00:00.7998021	4,681818
482	64	00:00:00.6986930	4,6875
483	64	00:00:00.8053044	4,6875
484	66	00:00:00.7099867	4,666667
485	66	00:00:00.7379001	4,651515
486	64	00:00:00.7806439	4,6875
487	64	00:00:00.7057151	4,6875
488	64	00:00:00.7213361	4,6875
489	63	00:00:00.7870433	4,761905
490	65	00:00:00.7397126	4,738461
491	66	00:00:00.7805220	4,651515
492	66	00:00:00.7567212	4,621212
493	65	00:00:00.7108319	4,646154
494	64	00:00:00.8110317	4,6875
495	64	00:00:00.6982263	4,6875
